number of threads, number of stars, time elapsed
8, 0, 18366.000000
8, 0, 15130.000000
8, 0, 11782.000000
8, 0, 13988.000000
8, 0, 10385.000000
8, 0, 10298.000000
8, 0, 10240.000000
8, 0, 9369.000000
8, 0, 9008.000000
8, 0, 8980.000000
8, 0, 8956.000000
8, 0, 8591.000000
8, 0, 8790.000000
8, 0, 8710.000000
8, 0, 8711.000000
8, 0, 8742.000000
8, 0, 11380.000000
8, 0, 14599.000000
8, 0, 12999.000000
8, 0, 10577.000000
8, 0, 11284.000000
8, 0, 14696.000000
8, 0, 13243.000000
8, 0, 12582.000000
8, 0, 12071.000000
8, 0, 11583.000000
8, 0, 11420.000000
8, 0, 10873.000000
8, 0, 10541.000000
8, 0, 10197.000000
8, 0, 9895.000000
8, 0, 9653.000000
8, 0, 9466.000000
8, 0, 9180.000000
8, 0, 9045.000000
8, 0, 8853.000000
8, 0, 8751.000000
8, 0, 8534.000000
8, 0, 8775.000000
8, 0, 9550.000000
8, 0, 8804.000000
8, 0, 8964.000000
8, 0, 8994.000000
8, 0, 8738.000000
8, 0, 8820.000000
8, 0, 8908.000000
8, 0, 8915.000000
8, 0, 8816.000000
8, 0, 9764.000000
8, 0, 10859.000000
8, 0, 9850.000000
8, 0, 9576.000000
8, 0, 12236.000000
8, 0, 12274.000000
8, 0, 8898.000000
8, 0, 10376.000000
8, 0, 8713.000000
8, 0, 8880.000000
8, 0, 8973.000000
8, 0, 8948.000000
8, 0, 8715.000000
8, 0, 8764.000000
8, 0, 9033.000000
8, 0, 8839.000000
8, 0, 13551.000000
8, 0, 10847.000000
8, 0, 13749.000000
8, 0, 13697.000000
8, 0, 12808.000000
8, 0, 12732.000000
8, 0, 11829.000000
8, 0, 11563.000000
8, 0, 17652.000000
8, 0, 17479.000000
8, 564, 21407.000000
8, 554, 23746.000000
8, 542, 20501.000000
8, 535, 16797.000000
8, 525, 17057.000000
8, 513, 15457.000000
8, 496, 14397.000000
8, 484, 14929.000000
8, 470, 12594.000000
8, 462, 11071.000000
8, 453, 10861.000000
8, 447, 11574.000000
8, 437, 11252.000000
8, 424, 10641.000000
8, 420, 18790.000000
8, 410, 12985.000000
8, 405, 14666.000000
8, 400, 14234.000000
8, 395, 12612.000000
8, 390, 12816.000000
8, 383, 19272.000000
8, 376, 19406.000000
8, 373, 18672.000000
8, 370, 17886.000000
8, 367, 18749.000000
8, 363, 16132.000000
8, 359, 15037.000000
8, 354, 14099.000000
8, 347, 13490.000000
8, 345, 19815.000000
8, 344, 25281.000000
8, 338, 20606.000000
8, 334, 18136.000000
