number of threads, number of stars, time elapsed
4, 0, 19.000000
4, 0, 16.000000
4, 0, 12.000000
4, 0, 14.000000
4, 0, 12.000000
4, 0, 11.000000
4, 0, 10.000000
4, 0, 10.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 12.000000
4, 0, 10.000000
4, 0, 10.000000
4, 0, 10.000000
4, 0, 10.000000
4, 0, 14.000000
4, 0, 10.000000
4, 0, 9.000000
4, 0, 10.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 10.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 12.000000
4, 0, 10.000000
4, 0, 10.000000
4, 0, 9.000000
4, 0, 10.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 9.000000
4, 0, 8.000000
4, 0, 9.000000
4, 0, 17.000000
4, 0, 14.000000
4, 0, 15.000000
4, 0, 15.000000
4, 0, 13.000000
4, 0, 12.000000
4, 0, 14.000000
4, 0, 12.000000
4, 0, 13.000000
4, 0, 11.000000
4, 0, 16.000000
4, 0, 16.000000
4, 0, 15.000000
4, 0, 14.000000
4, 0, 13.000000
4, 0, 13.000000
4, 0, 15.000000
4, 0, 14.000000
4, 0, 13.000000
4, 0, 12.000000
4, 0, 12.000000
4, 0, 12.000000
4, 0, 11.000000
4, 0, 11.000000
4, 0, 14.000000
4, 0, 11.000000
4, 0, 11.000000
4, 0, 15.000000
4, 0, 14.000000
4, 0, 13.000000
4, 0, 13.000000
4, 0, 12.000000
4, 0, 16.000000
4, 0, 15.000000
4, 0, 17.000000
4, 0, 17.000000
4, 0, 19.000000
4, 0, 17.000000
4, 0, 16.000000
4, 0, 19.000000
4, 0, 17.000000
4, 0, 18.000000
4, 0, 18.000000
4, 0, 18.000000
4, 0, 16.000000
4, 0, 16.000000
4, 0, 14.000000
4, 0, 15.000000
4, 0, 19.000000
4, 575, 19.000000
4, 543, 17.000000
4, 526, 16.000000
4, 511, 15.000000
4, 488, 14.000000
4, 474, 21.000000
4, 453, 13.000000
4, 432, 16.000000
4, 407, 20.000000
4, 395, 18.000000
4, 382, 20.000000
4, 368, 21.000000
4, 356, 20.000000
4, 350, 22.000000
4, 341, 20.000000
4, 329, 18.000000
4, 866, 26.000000
4, 858, 24.000000
4, 839, 21.000000
4, 823, 20.000000
4, 806, 20.000000
4, 781, 18.000000
4, 761, 17.000000
4, 750, 15.000000
4, 733, 16.000000
4, 722, 14.000000
4, 710, 15.000000
4, 693, 14.000000
4, 678, 14.000000
4, 669, 14.000000
4, 653, 15.000000
4, 643, 13.000000
4, 631, 14.000000
4, 622, 13.000000
4, 611, 13.000000
4, 1210, 26.000000
4, 1198, 25.000000
4, 1178, 24.000000
4, 1167, 25.000000
4, 1148, 23.000000
4, 1127, 23.000000
4, 1114, 23.000000
4, 1096, 22.000000
4, 1083, 23.000000
4, 1063, 21.000000
4, 1049, 22.000000
4, 1030, 21.000000
4, 1019, 21.000000
4, 1007, 20.000000
4, 1551, 35.000000
4, 1532, 35.000000
4, 1514, 34.000000
4, 1495, 33.000000
4, 1473, 34.000000
4, 1460, 32.000000
4, 1443, 31.000000
4, 1424, 32.000000
4, 1409, 30.000000
4, 1393, 31.000000
4, 2058, 55.000000
4, 2035, 53.000000
4, 2010, 53.000000
4, 1986, 52.000000
4, 1964, 50.000000
4, 1935, 50.000000
4, 1910, 48.000000
4, 2672, 87.000000
4, 2610, 82.000000
4, 2565, 78.000000
4, 2537, 77.000000
4, 2504, 78.000000
4, 2475, 73.000000
4, 2442, 72.000000
4, 2420, 71.000000
4, 2385, 70.000000
4, 3098, 113.000000
4, 3051, 107.000000
4, 3017, 104.000000
4, 2984, 104.000000
4, 2947, 101.000000
4, 2911, 99.000000
4, 2872, 96.000000
4, 2841, 96.000000
4, 2817, 93.000000
4, 2788, 91.000000
4, 2763, 90.000000
4, 2729, 88.000000
4, 2693, 88.000000
4, 2663, 84.000000
4, 2646, 83.000000
4, 2623, 83.000000
4, 3149, 116.000000
4, 3124, 115.000000
4, 3100, 110.000000
4, 3070, 112.000000
4, 3040, 106.000000
4, 3008, 107.000000
4, 2978, 107.000000
4, 2953, 102.000000
4, 3429, 136.000000
4, 3386, 131.000000
4, 3363, 127.000000
4, 3341, 126.000000
4, 3314, 131.000000
4, 3277, 121.000000
4, 3250, 121.000000
4, 4008, 177.000000
4, 3967, 174.000000
4, 3929, 170.000000
4, 3889, 167.000000
4, 3853, 163.000000
4, 3821, 163.000000
4, 3794, 160.000000
