number of threads, number of stars, time elapsed
0, 0, 24141.000000
0, 0, 19691.000000
0, 0, 14868.000000
0, 0, 17128.000000
0, 0, 13240.000000
0, 0, 12506.000000
0, 0, 12048.000000
0, 0, 11560.000000
0, 0, 11154.000000
0, 0, 10780.000000
0, 0, 10402.000000
0, 0, 10129.000000
0, 0, 9868.000000
0, 0, 9633.000000
0, 0, 9409.000000
0, 0, 9152.000000
0, 0, 8962.000000
0, 0, 8754.000000
0, 0, 8632.000000
0, 0, 8383.000000
0, 0, 8241.000000
0, 0, 8139.000000
0, 0, 8174.000000
0, 0, 8144.000000
0, 0, 8161.000000
0, 0, 8143.000000
0, 0, 8142.000000
0, 0, 8141.000000
0, 0, 8139.000000
0, 0, 8138.000000
0, 0, 8152.000000
0, 0, 8142.000000
0, 0, 8144.000000
0, 0, 8138.000000
0, 0, 8153.000000
0, 0, 8160.000000
0, 0, 8240.000000
0, 0, 8175.000000
0, 0, 8161.000000
0, 0, 8261.000000
0, 0, 8307.000000
0, 0, 8231.000000
0, 0, 8303.000000
0, 0, 8283.000000
0, 0, 8266.000000
0, 0, 8250.000000
0, 0, 8227.000000
0, 0, 8203.000000
0, 0, 8221.000000
0, 0, 8228.000000
0, 0, 8205.000000
0, 0, 8204.000000
0, 0, 8199.000000
0, 0, 8195.000000
0, 0, 8197.000000
0, 0, 8244.000000
0, 0, 8274.000000
0, 0, 8221.000000
0, 0, 8222.000000
0, 0, 8208.000000
0, 0, 8204.000000
0, 0, 8219.000000
0, 0, 8201.000000
0, 0, 8199.000000
0, 0, 8205.000000
0, 0, 8221.000000
0, 0, 8227.000000
0, 0, 8226.000000
0, 0, 8207.000000
0, 0, 8199.000000
0, 0, 8216.000000
0, 0, 8164.000000
0, 0, 8146.000000
0, 0, 8161.000000
0, 0, 8144.000000
0, 0, 8150.000000
0, 0, 8137.000000
0, 0, 8185.000000
0, 0, 8166.000000
0, 0, 8206.000000
0, 0, 8152.000000
0, 0, 8145.000000
0, 0, 8153.000000
0, 0, 8161.000000
0, 0, 8187.000000
0, 0, 8219.000000
0, 0, 8473.000000
0, 610, 19678.000000
0, 589, 18604.000000
0, 574, 18036.000000
0, 562, 17888.000000
0, 548, 17125.000000
0, 533, 16591.000000
0, 523, 16280.000000
0, 501, 15623.000000
0, 494, 15419.000000
0, 487, 15253.000000
0, 469, 14762.000000
0, 459, 14508.000000
0, 447, 14176.000000
0, 443, 14064.000000
0, 438, 13904.000000
0, 424, 13575.000000
0, 416, 13391.000000
0, 408, 16211.000000
0, 401, 12993.000000
0, 397, 12853.000000
0, 388, 12626.000000
0, 384, 12588.000000
0, 377, 12416.000000
0, 373, 12374.000000
0, 362, 12200.000000
0, 356, 11937.000000
0, 352, 11859.000000
0, 348, 11735.000000
0, 346, 11741.000000
0, 341, 11655.000000
0, 337, 11566.000000
0, 333, 11479.000000
0, 328, 11357.000000
0, 326, 11416.000000
0, 318, 11213.000000
0, 315, 11201.000000
0, 310, 11063.000000
0, 308, 11023.000000
0, 305, 11002.000000
0, 299, 10872.000000
0, 296, 10851.000000
0, 293, 10833.000000
0, 290, 10734.000000
0, 286, 10636.000000
0, 285, 10668.000000
0, 283, 10582.000000
0, 281, 10551.000000
0, 280, 10572.000000
0, 277, 10499.000000
0, 273, 10437.000000
0, 270, 10399.000000
0, 267, 10347.000000
0, 263, 10268.000000
0, 261, 10244.000000
0, 261, 10185.000000
0, 259, 10135.000000
0, 255, 10077.000000
0, 254, 10055.000000
0, 250, 10013.000000
0, 249, 9984.000000
0, 247, 9957.000000
0, 247, 9971.000000
0, 244, 9910.000000
0, 242, 9914.000000
0, 238, 9830.000000
0, 236, 9794.000000
0, 236, 9808.000000
0, 236, 9790.000000
0, 234, 9790.000000
0, 232, 9791.000000
0, 230, 9814.000000
0, 228, 9772.000000
0, 226, 9711.000000
0, 225, 9714.000000
0, 223, 9738.000000
0, 222, 9635.000000
0, 221, 9598.000000
0, 221, 9634.000000
0, 218, 9588.000000
0, 217, 9603.000000
0, 217, 9546.000000
0, 217, 9555.000000
0, 216, 9545.000000
0, 215, 9519.000000
0, 214, 9538.000000
0, 214, 9526.000000
0, 212, 9471.000000
0, 212, 9470.000000
0, 211, 9466.000000
0, 211, 9490.000000
0, 210, 9453.000000
0, 210, 9452.000000
0, 208, 9441.000000
0, 208, 9426.000000
0, 207, 9414.000000
0, 205, 9406.000000
0, 204, 9419.000000
0, 204, 9370.000000
0, 204, 9404.000000
0, 203, 9371.000000
0, 202, 9369.000000
0, 200, 9368.000000
0, 200, 9335.000000
0, 198, 9320.000000
0, 196, 10132.000000
0, 195, 9992.000000
0, 195, 9843.000000
0, 195, 9576.000000
0, 195, 9418.000000
0, 193, 9254.000000
0, 192, 9258.000000
0, 191, 9227.000000
0, 189, 9253.000000
0, 188, 9243.000000
0, 186, 9177.000000
0, 184, 9197.000000
0, 183, 9161.000000
0, 183, 9135.000000
0, 182, 9181.000000
0, 181, 9133.000000
0, 181, 9165.000000
0, 180, 9147.000000
0, 180, 9111.000000
0, 178, 9085.000000
0, 178, 9093.000000
0, 178, 9085.000000
0, 176, 9074.000000
0, 176, 9092.000000
0, 176, 9060.000000
0, 175, 9096.000000
0, 173, 9065.000000
0, 172, 9021.000000
0, 169, 9022.000000
0, 169, 9041.000000
0, 169, 9062.000000
0, 169, 9027.000000
0, 168, 9005.000000
0, 167, 9016.000000
0, 166, 9010.000000
0, 165, 8959.000000
0, 165, 8990.000000
0, 164, 8962.000000
0, 163, 8959.000000
0, 163, 8943.000000
0, 162, 8967.000000
0, 162, 8945.000000
0, 162, 9005.000000
0, 162, 8939.000000
0, 162, 8975.000000
0, 162, 8996.000000
0, 161, 8942.000000
0, 161, 8913.000000
0, 161, 8950.000000
0, 159, 8917.000000
0, 158, 8887.000000
0, 158, 8917.000000
0, 156, 8919.000000
0, 155, 8945.000000
0, 155, 8879.000000
0, 154, 8855.000000
0, 153, 8900.000000
0, 153, 8863.000000
0, 153, 8843.000000
0, 153, 8832.000000
0, 152, 8829.000000
0, 152, 8826.000000
0, 152, 8849.000000
0, 151, 8818.000000
0, 151, 8818.000000
0, 151, 9720.000000
0, 150, 8859.000000
0, 148, 8907.000000
0, 148, 8885.000000
0, 145, 8840.000000
