number of threads, number of stars, time elapsed
1, 0, 17667.000000
1, 0, 14709.000000
1, 0, 11522.000000
1, 0, 13616.000000
1, 0, 10656.000000
1, 0, 10203.000000
1, 0, 9991.000000
1, 0, 9691.000000
1, 0, 9486.000000
1, 0, 9191.000000
1, 0, 9012.000000
1, 0, 8846.000000
1, 0, 8695.000000
1, 0, 8452.000000
1, 0, 8329.000000
1, 0, 8243.000000
1, 0, 8258.000000
1, 0, 8243.000000
1, 0, 8261.000000
1, 0, 8245.000000
1, 0, 8258.000000
1, 0, 8265.000000
1, 0, 8275.000000
1, 0, 8242.000000
1, 0, 8245.000000
1, 0, 8240.000000
1, 0, 8243.000000
1, 0, 8228.000000
1, 0, 8283.000000
1, 0, 8259.000000
1, 0, 8238.000000
1, 0, 8244.000000
1, 0, 8246.000000
1, 0, 8279.000000
1, 0, 8277.000000
1, 0, 8236.000000
1, 0, 8247.000000
1, 0, 8243.000000
1, 0, 8241.000000
1, 0, 8244.000000
1, 0, 8289.000000
1, 0, 8304.000000
1, 0, 8295.000000
1, 0, 8574.000000
1, 0, 8818.000000
1, 0, 8325.000000
1, 0, 8365.000000
1, 0, 8504.000000
1, 0, 8409.000000
1, 0, 8298.000000
1, 0, 8294.000000
1, 0, 8298.000000
1, 0, 8316.000000
1, 0, 8312.000000
1, 0, 8331.000000
1, 0, 8297.000000
1, 0, 8297.000000
1, 0, 8297.000000
1, 0, 8317.000000
1, 0, 8292.000000
1, 0, 8293.000000
1, 0, 8291.000000
1, 0, 8294.000000
1, 0, 8541.000000
1, 0, 9025.000000
1, 0, 8869.000000
1, 0, 8764.000000
1, 0, 9124.000000
1, 0, 8651.000000
1, 0, 9025.000000
1, 0, 8692.000000
1, 0, 9047.000000
1, 0, 8677.000000
1, 0, 9031.000000
1, 0, 9079.000000
1, 0, 10298.000000
1, 0, 11508.000000
1, 0, 10844.000000
1, 0, 9440.000000
1, 0, 9116.000000
1, 0, 8818.000000
1, 0, 8873.000000
1, 0, 8917.000000
1, 0, 8943.000000
1, 0, 8616.000000
1, 0, 8746.000000
1, 0, 8526.000000
1, 0, 8943.000000
1, 0, 8534.000000
1, 0, 8824.000000
1, 0, 8505.000000
1, 0, 8839.000000
1, 0, 8498.000000
1, 0, 8903.000000
1, 0, 8544.000000
1, 0, 8738.000000
1, 0, 8598.000000
1, 0, 8798.000000
1, 0, 8670.000000
1, 0, 8785.000000
1, 0, 8709.000000
1, 0, 8612.000000
1, 0, 8627.000000
1, 0, 8586.000000
1, 0, 11873.000000
1, 0, 8489.000000
1, 0, 8971.000000
1, 579, 19797.000000
1, 549, 17871.000000
1, 531, 17062.000000
1, 507, 16113.000000
1, 490, 15854.000000
1, 469, 14968.000000
1, 454, 14542.000000
1, 437, 14113.000000
1, 414, 13520.000000
1, 402, 13242.000000
1, 386, 12861.000000
1, 375, 12629.000000
1, 362, 12314.000000
1, 349, 12090.000000
1, 336, 11860.000000
1, 326, 11667.000000
1, 318, 11522.000000
1, 308, 11269.000000
1, 304, 11272.000000
1, 297, 12032.000000
1, 291, 12135.000000
1, 280, 11754.000000
1, 275, 11525.000000
1, 264, 11232.000000
1, 259, 11084.000000
1, 252, 11007.000000
1, 248, 12151.000000
1, 242, 12139.000000
1, 231, 11693.000000
1, 227, 11416.000000
1, 223, 11261.000000
1, 216, 11003.000000
1, 212, 10874.000000
1, 209, 11182.000000
1, 204, 11148.000000
1, 202, 10967.000000
1, 200, 10813.000000
1, 197, 10604.000000
1, 190, 10369.000000
1, 187, 10285.000000
1, 182, 10098.000000
1, 177, 9909.000000
1, 170, 9763.000000
1, 167, 9870.000000
1, 162, 9465.000000
1, 160, 9381.000000
1, 158, 9352.000000
1, 155, 9447.000000
1, 154, 9431.000000
1, 152, 9449.000000
1, 151, 9267.000000
1, 151, 9212.000000
1, 148, 9381.000000
1, 146, 9387.000000
1, 144, 9252.000000
1, 139, 9231.000000
1, 135, 9440.000000
1, 134, 9621.000000
1, 131, 9483.000000
1, 128, 9275.000000
1, 123, 9268.000000
1, 122, 9163.000000
1, 118, 9121.000000
1, 115, 9098.000000
1, 115, 9143.000000
1, 113, 9025.000000
1, 113, 9307.000000
1, 113, 9264.000000
1, 112, 9357.000000
1, 110, 9121.000000
1, 109, 9112.000000
1, 107, 9278.000000
1, 106, 9079.000000
1, 102, 8992.000000
1, 102, 9003.000000
1, 101, 9027.000000
1, 99, 8933.000000
1, 99, 8923.000000
1, 96, 9075.000000
1, 95, 9106.000000
1, 94, 9006.000000
1, 93, 8878.000000
1, 93, 8855.000000
1, 92, 8816.000000
1, 89, 8794.000000
1, 89, 8782.000000
1, 89, 8809.000000
1, 86, 8753.000000
1, 86, 8475.000000
1, 86, 8773.000000
1, 83, 9359.000000
1, 82, 9105.000000
1, 82, 9064.000000
1, 81, 8913.000000
1, 81, 8947.000000
1, 80, 9015.000000
1, 79, 8838.000000
1, 79, 9383.000000
1, 78, 12949.000000
1, 78, 15267.000000
1, 78, 13629.000000
1, 78, 11861.000000
1, 78, 11604.000000
1, 78, 11081.000000
1, 76, 10668.000000
1, 75, 10999.000000
1, 75, 15218.000000
1, 75, 11205.000000
1, 75, 13245.000000
1, 75, 11001.000000
1, 74, 13373.000000
1, 74, 11346.000000
1, 74, 13376.000000
1, 73, 10650.000000
1, 73, 10023.000000
1, 72, 13697.000000
1, 72, 12889.000000
1, 71, 10318.000000
1, 71, 9744.000000
1, 69, 9426.000000
1, 69, 9203.000000
1, 69, 9108.000000
1, 69, 8998.000000
1, 68, 8961.000000
1, 68, 8925.000000
1, 68, 8959.000000
1, 68, 8950.000000
1, 68, 9025.000000
1, 68, 9067.000000
1, 67, 9102.000000
1, 66, 8983.000000
1, 66, 9047.000000
1, 66, 9501.000000
1, 66, 9014.000000
1, 66, 9120.000000
1, 65, 19025.000000
1, 65, 17405.000000
1, 65, 16139.000000
1, 65, 15117.000000
1, 65, 14295.000000
1, 65, 13593.000000
1, 65, 13012.000000
