number of threads, number of stars, time elapsed
1, 0, 19.000000
1, 0, 15.000000
1, 0, 12.000000
1, 0, 14.000000
1, 0, 11.000000
1, 0, 10.000000
1, 0, 11.000000
1, 0, 9.000000
1, 0, 10.000000
1, 0, 10.000000
1, 0, 9.000000
1, 0, 9.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 12.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 8.000000
1, 0, 9.000000
1, 0, 8.000000
1, 0, 8.000000
